today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/2/15,2.767039,40.98186,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.788437,40.992847,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.789315,40.999133,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.788986,40.915942,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.764241,41.013391,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.314848,41.981616,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.332824,42.291362,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.743994,40.850025,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.745092,40.850025,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.343938,42.135425,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.367539,42.047534,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/2/15,2.785694,40.861011,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.310458,42.014575,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.310458,42.223316,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.765942,40.707202,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.343389,41.97063,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.338065,42.28775,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.324179,42.234302,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.336977,42.284768,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.324728,41.926685,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.336083,42.287929,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.321435,42.212329,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.337266,42.284285,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.318142,42.036548,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.31869,42.289234,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.784596,40.762134,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.332412,42.289234,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.337148,42.285487,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.748384,40.762134,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.348658,42.278851,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/3/15,2.329668,42.289234,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
