date,longitude,latitude,ip,type,category,tpm_type,informants
10/7/2015,43.66155664,3.121286609,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66158553,3.121290743,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66158938,3.121249087,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66158471,3.121314997,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66159521,3.121304009,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66161531,3.121255352,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66158277,3.121295245,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66158831,3.121268088,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66159604,3.12128623,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/7/2015,43.66158069,3.121379494,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,43.66154575,3.121289403,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,43.66157575,3.121321618,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54674483,3.806042119,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.5467664,3.806044783,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54675771,3.806112257,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54683199,3.806037638,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54680139,3.806092185,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54677992,3.806086984,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54683973,3.806058087,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54686285,3.806120621,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.54690621,3.80611426,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/8/2015,42.5467211,3.806080673,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42406281,3.90470932,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51947317,3.709608585,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.5194399,3.709611358,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51939609,3.709764326,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42404753,3.904574679,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51947008,3.70961933,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51949254,3.709595626,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51945796,3.709594184,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51946695,3.709593305,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42405615,3.904611829,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42402521,3.904587901,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42402755,3.904560427,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42403471,3.904587715,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42408938,3.904594388,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51946071,3.709616668,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51941063,3.709665941,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.51946748,3.709565621,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42404475,3.904573866,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42398559,3.904567991,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/11/2015,42.42400392,3.904618607,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.5576122,3.783523316,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55760137,3.783525734,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.5575102,3.783418751,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55754892,3.783433595,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55755346,3.783455892,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55753159,3.783420224,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55756278,3.783433805,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55757298,3.783410371,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55758145,3.783436157,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/12/2015,42.55754799,3.783490541,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.55192225,3.733794663,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.55195144,3.733770515,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.55193897,3.733777622,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.55194554,3.733792138,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.55195625,3.733804703,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.55195548,3.73372875,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
10/13/2015,42.551865,3.733720881,UNICEF,,Nutrition & Health ,FS,Beneficiary exit Interview
