date,longitude,latitude,ip,type,category,tpm_type,informants
7/2/15,40.98186,2.767039,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,40.992847,2.788437,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,40.999133,2.789315,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,40.915942,2.788986,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,41.013391,2.764241,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,41.981616,2.314848,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,42.291362,2.332824,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,40.850025,2.743994,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,40.850025,2.745092,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,42.135425,2.343938,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,42.047534,2.367539,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/2/15,40.861011,2.785694,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.014575,2.310458,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.223316,2.310458,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,40.707202,2.765942,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,41.97063,2.343389,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.28775,2.338065,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.234302,2.324179,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.284768,2.336977,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,41.926685,2.324728,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.287929,2.336083,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.212329,2.321435,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.284285,2.337266,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.036548,2.318142,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.289234,2.31869,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,40.762134,2.784596,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.289234,2.332412,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.285487,2.337148,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,40.762134,2.748384,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.278851,2.348658,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.289234,2.329668,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.31008,2.331699,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,42.30022,2.340645,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/3/15,41.070811,2.814216,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.123953,2.137526,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119659,2.146396,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.078333,2.130362,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.125835,2.144827,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119831,2.146225,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119874,2.146396,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119788,2.146321,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119487,2.146268,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119006,2.146014,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.067346,2.11362,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119316,2.146268,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119058,2.146053,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.111292,2.149849,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.100467,2.141777,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,40.784107,2.762101,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,42.194456,3.482703,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.099437,2.141725,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.103354,2.138212,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119928,2.146154,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119874,2.146278,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119864,2.145551,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,41.029956,2.777599,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.118972,2.146225,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119273,2.145925,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.116785,2.139694,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.119187,2.145882,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.096862,2.141211,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.118629,2.146278,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,45.111292,2.131735,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,44.892756,2.619217,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/6/15,40.762134,2.745092,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.751148,2.767478,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.98186,2.794472,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.057336,2.776312,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.707202,2.776915,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.991419,2.827063,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.001691,2.784926,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.77312,2.837267,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.795093,2.738508,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.84978,2.332412,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,45.118879,2.145732,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.30022,2.343389,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.285186,2.337138,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.827808,2.307713,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.84978,2.343389,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.805835,2.365343,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.284414,2.337309,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.915698,2.33351,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.794849,2.288503,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.340292,2.335815,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.285358,2.337062,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.036548,2.344487,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,40.751148,2.727534,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,41.64104,2.37632,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.567957,3.790865,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.5446,3.798717,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.551477,3.788947,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.584436,3.790865,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545675,3.799292,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546272,3.799169,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.589929,3.790865,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546145,3.798888,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.600916,3.782643,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546145,3.798032,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.55697,3.779903,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.518518,3.798265,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.543958,3.799789,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545115,3.800944,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.53703,3.788508,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.562463,3.785384,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545332,3.797751,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.524011,3.76757,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.567957,3.801827,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.547048,3.797837,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545802,3.799745,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.617395,3.789495,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.584436,3.785384,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.546362,3.80008,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.544734,3.798045,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.545332,3.800663,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.542523,3.78659,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.584436,3.801827,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/7/15,42.547392,3.798042,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.55697,3.780177,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.55697,3.779903,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.547481,3.795339,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.548016,3.788234,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/8/15,42.55351,3.792893,UNICEF,,Cash Transfers,CC,Beneficiary Interview
